intersect	slope	p	BH	func	func_type	dataset
-7.52246598924496e-05	0.0486402247170056	4.55023178324367e-05	0.000235370501597368	K09712	kos	ERP012177 | CRC
-0.000335181781648936	0.0272524520056336	0.0753279864275571	0.140483061504769	K09740	kos	ERP012177 | CRC
-0.000294681164710147	0.0116659715085553	0.0684646312648156	0.129822594633733	K09758	kos	ERP012177 | CRC
-0.00034358923497356	0.0157241841824976	0.00075987579222802	0.00265698845210099	K09759	kos	ERP012177 | CRC
-0.0153243299840001	0.0154948746722884	6.16372053127059e-05	0.000303928408768284	K09761	kos	ERP012177 | CRC
0.00426305491146125	-0.00572312335413393	0.112859927968926	0.197462317411696	K09762	kos	ERP012177 | CRC
-0.000128902067829981	0.0436895521576771	1.17515354984228e-05	7.9834736036137e-05	K09774	kos	ERP012177 | CRC
-9.20912532074067e-05	0.0203392115287775	0.031427715581381	0.0662237058572243	K09778	kos	ERP012177 | CRC
-9.06111546494222e-05	0.0285991874062575	0.00834264331187366	0.0212341552205671	K09780	kos	ERP012177 | CRC
-9.06557291965389e-05	0.0287114920732465	0.00830742044025588	0.0211695792508353	K09781	kos	ERP012177 | CRC
-0.000246659851636359	0.0330407543179409	0.000598220726414283	0.00214508823072819	K09786	kos	ERP012177 | CRC
-0.000467834859658963	0.010811377793793	0.09957718830013	0.178049384860348	K09789	kos	ERP012177 | CRC
-0.00431107815695143	0.00633808579854488	0.0507848904514995	0.100017780855245	K09790	kos	ERP012177 | CRC
-0.000214150925299364	0.0316253445971872	0.000203113037555002	0.000837728439337963	K09791	kos	ERP012177 | CRC
-0.000188362404533653	0.0474521574770185	0.000762229531600896	0.0026612076949798	K09794	kos	ERP012177 | CRC
-0.000555693889895263	0.0242431213342857	4.80850528689945e-05	0.000244911795073693	K09797	kos	ERP012177 | CRC
-0.000711691758109293	0.0251169007384069	0.000441268217024404	0.00164192824939313	K09798	kos	ERP012177 | CRC
-0.000653729227766233	0.0136427027392743	0.0089379495132038	0.0224780952527185	K09800	kos	ERP012177 | CRC
-0.000134835810946549	0.0485278432882501	1.53888522853813e-06	3.02560485610887e-05	K09801	kos	ERP012177 | CRC
-0.000138206778359783	0.0415089208575562	7.14977615590172e-05	0.000342362862367224	K09802	kos	ERP012177 | CRC
-7.77626129081758e-05	0.0186860240770347	0.0369904851453859	0.0764865646499957	K09803	kos	ERP012177 | CRC
-0.000183858990047432	0.0595535304108879	0.000535662288367491	0.00194939060237267	K09805	kos	ERP012177 | CRC
-0.000141904671961226	0.0558865634618193	1.23674816974875e-05	8.23315854753832e-05	K09806	kos	ERP012177 | CRC
-0.000553906883006652	0.0139596375609999	0.00136765256938775	0.00440076832313397	K09807	kos	ERP012177 | CRC
-0.000800597066500028	0.0075241095928922	0.0023125425973941	0.00692717730917278	K09808	kos	ERP012177 | CRC
-0.000831245873641439	0.0142294343840933	0.00129127343954302	0.00418626085687871	K09810	kos	ERP012177 | CRC
-0.00175421826156402	0.00452706398850747	0.100100917520146	0.178848000498065	K09815	kos	ERP012177 | CRC
-0.000980005623774382	0.00705080011513061	0.0132334577263222	0.0314083088747494	K09816	kos	ERP012177 | CRC
-0.00081217106878719	0.00578136331045953	0.0487376108755109	0.0963949337009253	K09817	kos	ERP012177 | CRC
-0.000127892011931499	0.0441897875368854	0.000362628871596309	0.00137917865918596	K09823	kos	ERP012177 | CRC
-0.000601245745550268	0.0238098840056566	8.4725661260063e-05	0.000394309998241417	K09824	kos	ERP012177 | CRC
-0.000219295373834745	0.0345771733184965	0.00128669265339873	0.00418085007827037	K09857	kos	ERP012177 | CRC
-0.000147877069928911	0.0165633555581472	0.0281656686700189	0.0600591464287167	K09858	kos	ERP012177 | CRC
-0.000123644697669819	0.0394080230188049	6.12993609679414e-06	5.85101427307576e-05	K09862	kos	ERP012177 | CRC
-7.50210418494553e-05	0.0530009320005641	0.0196724562095468	0.0441393601606854	K09880	kos	ERP012177 | CRC
-0.00649281452575678	0.0148427783929285	0.0001777843916703	0.000747209762092566	K09888	kos	ERP012177 | CRC
-0.000203754300345973	0.02925562884691	0.000351405043954245	0.00134531303956081	K09889	kos	ERP012177 | CRC
-7.51752534338653e-05	0.0651734324238629	2.30498608353462e-06	3.66125273988073e-05	K09890	kos	ERP012177 | CRC
-0.000143439131757111	0.0571673902689195	1.04712741822709e-05	7.44436225039286e-05	K09891	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09892	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09893	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09894	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09895	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09896	kos	ERP012177 | CRC
-0.000144081385206672	0.0577036924564966	9.50388889506351e-06	6.94457393277082e-05	K09897	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09898	kos	ERP012177 | CRC
-0.000142898990285646	0.0566705163561709	1.06609491303093e-05	7.54067133607244e-05	K09899	kos	ERP012177 | CRC
-7.51750874792032e-05	0.0493314964760822	0.000593408594418919	0.00213112684063761	K09900	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09901	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09902	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09904	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K09906	kos	ERP012177 | CRC
-0.000197249087729811	0.0511485476856067	2.8980048675718e-05	0.000162424456946442	K09907	kos	ERP012177 | CRC
